source_url,blog_name,date_iso,title,vlax_core,vlax_context,is_vlax,vlax_match,media_count,fb_albums_count,yt_videos_count
https://www.fuit.gr/2019/05/eva-hantava.html,fuit.gr,2019-05-15T00:00:00.000+03:00,"""Μακάρι να δούμε μια ομάδα από τα Γρεβενά στην Α1""",False,True,True,Γρεβενά,8,0,0
https://www.fuit.gr/2019/05/oreo.html,fuit.gr,2019-05-14T12:30:00.000+03:00,Τάρτα OREO χωρίς ψήσιμο ,False,True,True,fuit,2,0,0
https://www.fuit.gr/2019/05/fuit-video-pistiolis.html,fuit.gr,2019-05-13T17:45:00.001+03:00,Γλέντι με τον Πιστιόλη στο fuit (video),False,True,True,fuit,1,0,2
https://www.fuit.gr/2019/05/stand-up-comedy.html,fuit.gr,2019-05-12T00:00:00.000+03:00,Stand Up Comedy στο fuit,False,True,True,fuit,2,0,0
https://www.fuit.gr/2019/05/refugees.html,fuit.gr,2019-05-05T15:45:00.001+03:00,Υποστηρίζουμε την Καλλιτεχνική Oμάδα Προσφύγων Γρεβενών,False,True,True,Fuit,2,0,0
https://www.fuit.gr/2019/05/pistiolis.html,fuit.gr,2019-05-03T18:41:00.000+03:00,Απογευματινό γλέντι με τον Κωσταντή Πιστιόλη - Σάββατο 04 Μαϊου,False,True,True,fuit,3,0,0
https://www.fuit.gr/2019/05/support-fuit.html,fuit.gr,2019-05-01T18:44:00.001+03:00,Στο πλευρό των... πρωταθλητών,False,True,True,fuit,27,0,0
https://www.fuit.gr/2019/04/baildsa.html,fuit.gr,2019-04-30T21:24:00.002+03:00,"BAILDSA: ""Εντός έδρας... ΠΟΛΕΜΟΣ""",False,True,True,Fuit,2,0,0
https://www.fuit.gr/2019/04/pancakes-spitika-fuit.html,fuit.gr,2019-04-27T11:55:00.001+03:00,Σπιτικά pancakes,False,True,True,fuit,10,0,0
https://www.fuit.gr/2019/04/human-touch-live.html,fuit.gr,2019-04-22T12:48:00.000+03:00,Human Touch live,False,False,False,,1,0,0
https://www.fuit.gr/2019/04/cayetano.html,fuit.gr,2019-04-18T21:25:00.000+03:00,"CAYETANO: ""Δεύτερο σπίτι μου""",False,True,True,FUIT,1,0,0
https://www.fuit.gr/2019/03/opera-chaotique.html,fuit.gr,2019-04-12T21:32:00.000+03:00,"Opera Chaotique: ""FUIT... Πυρσάρα, μανιτάρια και Rotting Christ""",False,True,True,FUIT,1,0,0
https://www.fuit.gr/2019/04/souvenir-fuit.html,fuit.gr,2019-04-10T21:59:00.000+03:00,Καλοκαιρινά T-SHIRT fuit ,False,True,True,fuit,6,0,0
https://www.fuit.gr/2019/04/maria-papageorgiou.html,fuit.gr,2019-04-10T21:27:00.000+03:00,"Μαρία Παπαγεωργίου: ""Χώρος που παράγει πολιτισμό""",False,True,True,Fuit,1,0,0
https://www.fuit.gr/2019/04/filozoiki-grevenon-fuit.html,fuit.gr,2019-04-03T21:49:00.000+03:00,Στο πλευρό της Φιλοζωικής ομάδας Γρεβενών,False,True,True,fuit,2,0,0
https://www.fuit.gr/2019/03/giorgos-avramidis.html,fuit.gr,2019-03-31T21:29:00.000+03:00,"Γιώργος Αβραμίδης – ΕΠΙΣΚΕΠΤΕΣ: ""Πολιτιστική όαση""",False,True,True,fuit,1,0,0
https://www.fuit.gr/2019/03/baildsa-live.html,fuit.gr,2019-03-28T12:50:00.000+02:00,Baildsa live,False,False,False,,1,0,0
https://www.fuit.gr/2019/03/babis-batmanidis-company.html,fuit.gr,2019-03-21T12:52:00.000+02:00,Babis Batmanidis Co(m)pany,False,False,False,,1,0,0
https://www.fuit.gr/2019/03/tarzan-bross.html,fuit.gr,2019-03-19T21:30:00.000+02:00,"Tarzan Bross: ""Οι ΠΙΟ φιλόξενοι άνθρωποι""",False,False,False,,1,0,0
https://www.fuit.gr/2019/03/12os-pithikos-live.html,fuit.gr,2019-03-18T12:55:00.000+02:00,12ος ΠΙΘΗΚΟΣ live,False,False,False,,1,0,0
https://www.fuit.gr/2019/03/pasqualle-brass-band.html,fuit.gr,2019-03-16T12:52:00.000+02:00,PASQUALLE brass band,False,False,False,,1,0,0
https://www.fuit.gr/2019/04/fuit-press.html,fuit.gr,2019-02-26T21:48:00.000+02:00,Έγραψαν για μας,False,True,True,fuit,17,0,0
https://www.fuit.gr/2019/02/kostas-poulis.html,fuit.gr,2019-02-14T21:33:00.000+02:00,"Κώστας Πουλής: ""Πρέπει να παίξεις εδώ"" ",False,True,True,Fuit,1,0,0
https://www.fuit.gr/2018/12/grover.html,fuit.gr,2018-12-26T21:24:00.000+02:00,ΓΚΡΟΒΕΡ...,False,True,True,fuit,1,0,0
https://www.fuit.gr/2018/12/hoodies.html,fuit.gr,2018-12-20T13:37:00.000+02:00,FU(I)ΤΕΡΑΚΙΑ ,False,False,False,,6,0,0
https://www.fuit.gr/2018/12/fuit-art-cafe-presveira-kouvas.html,fuit.gr,2018-12-02T19:07:00.000+02:00,Η πρέσβειρα της Κούβας στο fuit art cafe,False,True,True,fuit,5,0,0
https://www.fuit.gr/2018/11/to-xroniko-tis-diktatorias-1967-1974.html,fuit.gr,2018-11-15T19:02:00.000+02:00,"Προβολή Ντοκιμαντέρ ""Το χρονικό της δικτατορίας 1967-1974"" του Π. Βούλγαρη.",False,True,True,fuit,3,0,0
https://www.fuit.gr/2018/08/live-matoula-zamani.html,fuit.gr,2018-08-04T12:57:00.000+03:00,Ματούλα Ζαμάνη live,False,True,True,fuit,1,0,0
https://www.fuit.gr/2018/05/rebetiki-vradia.html,fuit.gr,2018-05-10T12:58:00.000+03:00,Ρεμπέτικη βραδιά,False,True,True,fuit,1,0,0
https://www.fuit.gr/2019/04/fuit-enas-kafes-se-perimenei-grevena.html,fuit.gr,2018-05-08T18:24:00.000+03:00,Ένας καφές σε περιμένει στο fuit,False,True,True,fuit,2,0,0
https://www.fuit.gr/2018/03/hat.html,fuit.gr,2018-03-03T13:48:00.000+02:00,Καπέλα fuit και fuckit ,False,True,True,fuit,11,0,0
https://www.fuit.gr/2018/02/5th-balkanita-festival.html,fuit.gr,2018-02-20T13:00:00.000+02:00,5th Balkanita festival,False,True,True,vol.,1,0,0
