asset_id,event_id,source,url,local_path,width_x_height,credit,sha256
ast_0027,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg00j0WmfLYTzoo-SJOyLjP5YEIFM5nvfp5-BGCspuB2y2fQ8vVUM0po0OjkCa9sucFN-iJgfMWJQFF305H5xNE_CBLcHWw0vyOe9rkdhefXeFi-gLfpmkiMPG6_25FKYosbSReAgWSnnmx/s0/133755128_333160157665894_7085739563828215421_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_14.jpg,0x0,fuit.gr,fc379002aa517746d85b7ee312ec4ee16cdae74f6c54d958c421babf920f1d3b
ast_0028,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgzEeYWp8RpqCE44z_UUCcdLa5emGgqLhg_8mUPO8eweU4B4G04Zr8bSx-F9eC7xoQbv52gpOyekNlUz-2j_xYr-Vn_kONsJukWeSvmcQfYUo-vNCzGmiiSb-CEpG2hFC2rRVQUSrmFrQIU/s0/133683906_2495241294116667_8415101038636336861_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_15.jpg,0x0,fuit.gr,f59092494e0f9d3688368ce8614af15451181aaa9a71bf3ad957008bcdeed24b
ast_0029,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhdYuG8knI9ST3nhFcw0x4fsBX9By55ResxXPtbQx3XbgoL0NIpKA0qExVU9GPBlpc5LULrbNUcD2I44aDw6GydJKDXen4o-H4Wf8IyuWhDJAWQC5JzXphEthEW1gu4UjPLXUxyl1lcg4b9/s0/133906030_2571811866442383_3519720997981805688_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_16.jpg,0x0,fuit.gr,7d019fbd0c18142a6c89fae5ea1fb60b0af2e9d67cf35d4be350c792985c5606
ast_0030,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj5dXBboXsIMDFWLCAwSc39NgztRX83DI3mNYWx-gNyzbh0I__etE0PsX13V1TlyLFvLJzZ45Wp-JW2karp0b2IWlqjZCK9wL-XNqPi3tjvoaEkVBQVPwlY8RKvAkfMQX5rF3MmFEgUeJf8/s0/134343625_1151159261969487_1185459350678880192_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_17.jpg,0x0,fuit.gr,5bc399a02c03b621d996f6b3654a4b57644d2a1123954ba980bab6b4d4ee13aa
ast_0031,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiOfvlGYJGdZQ1zKR2lBw0dT78IvYDTt0xwlT4aYo8rwoYx7Kg9Rt3vuKNcfvcQuKAeMc8-k8IUXx44m13MZKUHB5qAe7c3PzZe6Irv_pOMfnGQYSeX2iztzvvYSaBHkeUrNAQf_5NEAixb/s0/107397046_202623621074889_3378642835924229113_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_18.jpg,0x0,fuit.gr,2b4055c0bb327ac2c8b463a742abebe0e651dbcc96ed79cb6f9327f692667341
ast_0032,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEihPPlqHnURCDyXu-zCnyoQTxUZ5Py_q887wpnUx6-tr8afvj46jTfTFbaZq1YAHFvGSeNakQlhxZV3jNnOs_tz1ohD8o72kQBrhaJMpXKmIFgmyeWQfuS1QMDoAeCla0S-OiRjS_OIQwTU/s0/134035083_848217075791297_9084890308362060889_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_19.jpg,0x0,fuit.gr,f8aed0579d39457d035a0b04aac4ac45700525ea9378896bc3ce29e93412ccc0
ast_0033,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj9uCvS3VSRIe02enACucygKQoO70hnVDF08XGadMJ2uWuZeHyxNslvas5Dg64hIB-3T5byEUBwI52Ibc9nsMxDPtQ6rvOMZWR7WjRWlCVYN956PFf2rAJpFOmvkIQKIwMxDXawLLtAeL_I/s0/107909494_2696161880660551_1909344770438334464_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_20.jpg,0x0,fuit.gr,36b331c9aba84c61ef4896b1646bb9517cd99c5d9c34290edceb4638841a559a
ast_0034,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgz3V4kM1wygFwNvIsGaq0eUjuLuOeAKWttMY4zNxb747mQ4eX9B59CvqsTEQySqGZitBtFz4HS3cs9EFTfDxyHXIFTQLSSn7PZnjNUcbjS46NsFG6pKcfsgHTfdpaY6r6M5M7l5S6yjNUk/s0/117176773_3210101122404202_2355426966639261826_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_21.jpg,0x0,fuit.gr,7b9a13562a37dec905e1a050c55e329114963ad241745acb71c45dcf4e057138
ast_0035,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiCjShsNkCd-ut5aDZAOCOT_ae9vpUdlVmef0viJ6QcVne7qyQDpHb64fLv2Ei8EzDN_v3oCrv_dW1ENf4llZFhTd_kMp6uUTBD2psUSbtMS-T1GM5JteXxShJ7bF3POO32HcmeKnRNKaab/s0/133899151_691981708182727_3537322649493443693_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_22.jpg,0x0,fuit.gr,7023919adfa8ac82f9ae5007c6e07b11fe490cca1c72840c586b0f1aac371d6c
ast_0036,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhLAoLXLggxpbFST7o33VPoReWetZXX8NVATfrfT30DohDlnL_d-Ix9MMw7iIOeLY2NZ80ld3dAR_X_yt632e-M9xE7XjPzr1ArkJDVy68VGbhklow7708ym9UQl8zRnG25AezzB8KK91zT/s0/magda-fyssa.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_23.jpg,0x0,fuit.gr,a578c5b2d48ab7c237b2faec9504d87716c3ac94438b72e20786e56d369763c1
